"Story","Title","Result","Date","Stability","Duration (s)"
"Filter products story","Filter results by brand","FAILURE","2018-03-02T09:03:40.09Z[UTC]","0.0","37.06"
"Filter products story","Filter results by size","FAILURE","2018-03-02T09:04:17.785Z[UTC]","0.0","21.0"
"Filter products story","Filter results by brand and size","FAILURE","2018-03-02T09:04:38.855Z[UTC]","0.0","21.1"
"Filter products story","Filter results by brand","ERROR","2018-03-02T09:05:50.048Z[UTC]","0.0","51.86"
"Filter products story","Filter results by size","ERROR","2018-03-02T09:06:42.979Z[UTC]","0.0","45.64"
"Filter products story","Filter results by brand and size","ERROR","2018-03-02T09:07:28.667Z[UTC]","0.0","45.42"
"Search products story","Search results should show the search term in the results text","SUCCESS","2018-03-02T09:03:39.753Z[UTC]","0.0","29.81"
"Search products story","Search results should show the search term in the results text","ERROR","2018-03-02T09:05:49.569Z[UTC]","0.0","51.5"
"Sort results story","Order results by descendant price","FAILURE","2018-03-02T09:03:39.768Z[UTC]","0.0","45.57"
"Sort results story","Order results by ascendant price","SUCCESS","2018-03-02T09:04:26.29Z[UTC]","0.0","43.1"
"Sort results story","Order filter results","FAILURE","2018-03-02T09:05:09.449Z[UTC]","0.0","26.37"
"Sort results story","Order results by descendant price","ERROR","2018-03-02T09:05:49.333Z[UTC]","0.0","51.68"
"Sort results story","Order results by ascendant price","ERROR","2018-03-02T09:06:41.993Z[UTC]","0.0","45.86"
"Sort results story","Order filter results","ERROR","2018-03-02T09:07:27.864Z[UTC]","0.0","45.24"
